horse_idx,layer_idx,sawyer-right_j0,sawyer-right_j1,sawyer-right_j2,sawyer-right_j3,sawyer-right_j4,sawyer-right_j5,sawyer-right_j6
11,165,0.27710695370646665,0.47349221207518377,-1.0929971093289244,1.880219350925522,-2.5829219809444464,1.7931848516925921,-0.08570400618495565
11,166,0.2657831602470256,0.47583523058812427,-1.0964657112414868,1.8767796518177966,-2.584533569871988,1.8000603434618474,-0.08426291077159329
11,167,0.25448433088277383,0.47819954218296973,-1.1000177305157552,1.8732411551274608,-2.586081059012679,1.8067864299976977,-0.08281118091946417
11,168,0.243225316940677,0.4805696937362871,-1.1036399994601644,1.8696053834978834,-2.587566382997215,1.8133486470692108,-0.08135425061037463
11,169,0.2320099762170319,0.48293306740575337,-1.1073203276901402,1.8658783337070768,-2.588998664142535,1.8197535687664308,-0.07989642323189622
11,170,0.2208403842358789,0.4852782821195279,-1.1110482382230835,1.8620635970144999,-2.5903880347739476,1.8260068330645602,-0.07844632476867354
11,171,0.209721205018901,0.4875928598322487,-1.1148123018630334,1.858161095598812,-2.591744841233142,1.8321074552765033,-0.07701678112296795
11,172,0.1986594462502027,0.48986166410199056,-1.1185988818313566,1.8541691415028205,-2.593081579945971,1.838050506016335,-0.0756261117159451
11,173,0.1876623240430191,0.492067153415973,-1.12239258313265,1.850085992965229,-2.5944155017791544,1.8438313796800765,-0.07429801902594012
11,174,0.176734542534816,0.4941915758236126,-1.1261790423124667,1.8459116234857922,-2.59576925375092,1.8494494074277668,-0.07305871386262996
11,175,0.16587380175085611,0.49622277362468925,-1.1299509860042023,1.8416512352259675,-2.5971680436169144,1.8549138812166523,-0.07192700499522472
11,176,0.15506852679533473,0.49815977901058306,-1.1337126885407631,1.8373170310715337,-2.598631158009528,1.860246993128919,-0.07090219600846175
11,177,0.14429931603183174,0.5000167037770689,-1.1374809091770952,1.8329259004726406,-2.600162247010982,1.865480944170577,-0.06995773800082357
